id,nome,endereco,bairro,latitude,longitude,status_geocodificacao,endereco_encontrado
CONV-16,KOLPING,"RUA SANTO ANTONIO, 53 - JARDIM MARIA AUXILIADORA - CEP: 06843-190",Jardim Maria Auxiliadora,"-23,6590758","-46,8605887",VALIDADO,"R. Santo Antônio, 53 - Vila Maria Auxiliadora, Embu das Artes - SP, 06843-190, Brasil"
CONV-17,KOLPING RESSACA,"ESTR. DO CAPUTERA, 370 - RESSACA, ITAPECERICA DA SERRA - SP, 06887-140",,"-23,6798634","-46,8969109",VALIDADO,"Estr. do Caputera, 370 - Cotia, SP, 06887-140, Brasil"
CONV-18,MADRE TEREZA,"ESTRADA DE ITAPECERICA À CAMPO LIMPO, 202 - CEP: 06820-000",,"-23,6808516","-46,7962934",VALIDADO,"Estr. de Itapecerica - Jardim Branca Flor, Embu das Artes - SP, 05849-440, Brasil"
CONV-19,PEQ. DO PARQUE,"RUA IAPOQUE, 454 - PARQUE PIRAJUSSARA - CEP: 06815-160",Parque Pirajussara,"-23,6515925","-46,8154205",VALIDADO,"R. Oiapoque, 454 - Parque Pirajussara, Embu das Artes - SP, 06815-140, Brasil"
CONV-20,RIO PEQUENO,"ESTRADA KEIISHI MATSUMOTO, 612 - JARDIM TOMÉ - CEP: 06805-035",Jardim Tomé,"-23,6323064","-46,8515391",VALIDADO,"Estr. Keishi Matsumoto, 612 - Jardim Tome, Embu das Artes - SP, 06805-440, Brasil"
CONV-21,SANTA INÊS,"RUA GUINÉ, 51 - JARDIM SÃO LUIZ - CEP: 06816-500",Jardim São Luiz,"-23,6422011","-46,8129262",VALIDADO,"Rua Guiné, 51 - Jardim Sao Luiz, Embu das Artes - SP, 06816-500, Brasil"
CONV-22,SANTA LUZIA,"RUA JAIR AMARO DO AMARAL, 169 -JARDIM SANTA LUZIA - CEP. 06805-020",Jardim Santa Luzia,"-23,6381917","-46,8529706",VALIDADO,"Rua Jaír Amaro do Amaral, 169 - Jardim Santa Luzia, Embu das Artes - SP, 06805-020, Brasil"
CONV-23,SANTA TEREZINHA,"RUA ÁGUAS DE SÃO PEDRO, 108 - JARDIM DOM JOSÉ - CEP: 06823-590",Jardim Dom José,"-23,6756411","-46,8045145",VALIDADO,"R. Águas de São Pedro, 108 - Jardim Dom Jose, Embu das Artes - SP, 06824-105, Brasil"
DIR-01,EM JATOBÁ,AVENIDA ROTARY 3621 PARQUE LUIZA,Parque Luiza,"-23,6437277","-46,8088267",VALIDADO,"Av. Rotary, 3621 - Parque Industrial Ramos de Freitas, Embu das Artes - SP, 06816-155, Brasil"
DIR-02,EM NILZA PRESTES,RUA ANGOLA 19 JARDIM SÃO LUIZ,Jardim São Luiz,"-23,6407","-46,8143943",VALIDADO,"R. Angola, 19 - Jardim Sao Luiz, Embu das Artes - SP, 06816-540, Brasil"
DIR-03,EM REYNALDO,R. NARUMI NAKAYAMA 100 JD NOSSA SRA DE FÁTIMA,Jd Nossa Sra De Fátima,"-23,6460128","-46,8156071",VALIDADO,"R. Narumi Nakayama, 1024 - Jardim Nossa Sra. de Fatima, Embu das Artes - SP, 06816-250, Brasil"
DIR-04,EM ROSA CIRELLI,R. DAS MARGARIDAS 100 JARDIM STA BARBARA,Jardim Sta Barbara,"-23,6383345","-46,8299851",VALIDADO,"R. das Margaridas, 100 - Jardim Santa Barbara, Embu das Artes - SP, 06817-020, Brasil"
DIR-05,EM MUNDO DA CRIANÇA,ESTR. SÃO JUDAS 329 PARQUE ESPLANADA,Parque Esplanada,"-23,6271276","-46,8141321",VALIDADO,"Estr. São Judas, 329 - Parque Esplanada, Embu das Artes - SP, 06817-130, Brasil"
DIR-06,EM INÊS CARDOSO,AVENIDA JOÃO PAULO II 5225 JARDIM CASA BRANCA,Jardim Casa Branca,"-23,64794","-46,7976706",VALIDADO,"Av. João Paulo II, 5225 - Casa Branca, Embu das Artes - SP, 06810-240, Brasil"
DIR-07,EM ESTELA,R. CORSEGA 119 VILA OLINDA,Vila Olinda,"-23,6470425","-46,8044389",VALIDADO,"R. Corsega, 119 - Jardim Estela, Embu das Artes - SP, 06810-250, Brasil"
DIR-08,EM JORNALISTA,AVENIDA TERESA 537 JARDIM SANTA TEREZA,Jardim Santa Tereza,"-23,6499101","-46,8062736",VALIDADO,"Av. Teresa, 537 - Jardim Santa Tereza, Embu das Artes - SP, 06813-420, Brasil"
DIR-09,EM CINARA,R. CORSEGA 206 VILA OLINDA,Vila Olinda,"-23,647079","-46,805377",VALIDADO,"R. Corsega, 206 - Jardim Estela, Embu das Artes - SP, 06810-250, Brasil"
DIR-10,EM JOÃO ANTONIO DOS SANTOS,ESTRADA DOS MORAES 23 JARDIM SÃO MARCOS,Jardim São Marcos,"-23,6608935","-46,8186173",VALIDADO,"Estr. dos Moraes, 23 - Pirajussara, Embu das Artes - SP, 06814-200, Brasil"
DIR-11,NEI SÃO MARCOS,R. AUGUSTO A. BATISTA 367 JARDIM SÃO MARCOS,Jardim São Marcos,"-23,6602377","-46,8139689",VALIDADO,"Estr. São Luiz, 433b - Chácaras São Marcos, Embu das Artes - SP, 06814-080, Brasil"
DIR-12,EM VALDELICE AP MEDEIROS PRASS,AV. AIMARÁ – PQ. PIRAJUÇARA,,"-23,6520512","-46,8148993",VALIDADO,"Av. Aimara - Parque Pirajussara, Embu das Artes - SP, 06815-000, Brasil"
DIR-13,EM JOSÉ CARLOS,R. SÃO BERNARDO 13 JARDIM SÃO MARCOS,Jardim São Marcos,"-23,662228","-46,8145576",VALIDADO,"R. São Bernardo, 13 - Chácaras São Marcos, Embu das Artes - SP, 06814-090, Brasil"
DIR-14,EM MAURO FERREIRA,"ESTR. PROF. C. M. FILHO, 1071 EST. DE EMBUARAMA",,"-23,6389511","-46,8469316",VALIDADO,"R. Mar mediterrâneo - Estância Embuarama, Embu das Artes - SP, 06806-580, Brasil"
DIR-15,EM MELLONE,ESTRADA PROFESSOR C. M. FILHO 150,,"-23,6631831","-46,7974396",VALIDADO,"R. João Café Filho, 150 - Jardim Pres. Kennedy, Embu das Artes - SP, 06820-110, Brasil"
DIR-16,NEI TOMÉ,ESTR. KEIICHI MATSUMOTO 860 JARDIM TOMÉ,Jardim Tomé,"-23,632271","-46,8514373",VALIDADO,"Estr. Keishi Matsumoto, 860 - Jardim Tome, Embu das Artes - SP, Brasil"
DIR-17,NEI JD. DE LOURDES,R. AURORA G. CHRISTE 237 JARDIM LOURDES,Jardim Lourdes,"-23,639679","-46,8379955",VALIDADO,"Rua Aurora Gaspar Christe, 237 - Jardim de Lourdes, Embu das Artes - SP, 06806-010, Brasil"
DIR-18,EM JANAINA,R. AUSTRÁLIA 32 JARDIM MINAS,Jardim Minas,"-23,6188185","-46,8142457",VALIDADO,"Rua Australia, 32 - Jardim Mimas, Embu das Artes - SP, 06807-520, Brasil"
DIR-19,EM MURILO FERREIRA,PC. CUIABA - 32 - JARDIM VISTA ALEGRE - EMBU - SP,Jardim Vista Alegre,"-23,6269853","-46,8228085",VALIDADO,"Praça Cuiabá, 32 - Jardim Vista Alegre, Embu das Artes - SP, 06807-400, Brasil"
DIR-20,EM MARIA DAS GRAÇAS,R. AMÉLIA A. OLIVEIRA 386 JARDIM VISTA ALEGRE,Jardim Vista Alegre,"-23,6286307","-46,824165",VALIDADO,"R. Amélia dos Anjos de Oliveira, 386 - Jardim Vista Alegre, Embu das Artes - SP, 06814-115, Brasil"
DIR-21,EM CLÓVIS TENORIO APARECIDO,R. NOVA HAMBURGO 25 JARDIM VISTA ALEGRE,Jardim Vista Alegre,"-23,6321072","-46,8244986",VALIDADO,"R. Novo Hamburgo, 25 - Jardim Vista Alegre, Embu das Artes - SP, 06807-060, Brasil"
