territorio_cras,categoria,equipamento,bairro_informado,fonte
Pinheirinho,Esporte,Quadra do Santa Clara,,Imersão PMPI - planilha territorial
Pinheirinho,Educação,Em Jequitibá - Fund I,Pinheirinho,Imersão PMPI - planilha territorial
Pinheirinho,Educação,Em Jossei Toda – Creche,Pinheirinho,Imersão PMPI - planilha territorial
Pinheirinho,Educação,Nei Francisco Marcatto,Pinheirinho,Imersão PMPI - planilha territorial
Pinheirinho,Educação,Em Maria Iluminata - Creche Pré Escola,Santa Clara,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,UBS Independência,Independência,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Em Inês Cardoso - Pré Escola,Casa Branca,Imersão PMPI - planilha territorial
Santa Tereza,Esporte,"Ginásio José Anacleto – Rua Belgrado, s/nº",Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Cultura,Biblioteca,Casa Branca,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,UBS Santa Tereza,Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Em Estela – Creche,Vila Olinda,Imersão PMPI - planilha territorial
Santa Tereza,Esporte,"Centro Esportivo João Marreta - R José Mendes Ferreira, 340",Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,UBS Santa Tereza II,Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Em Hermínio Espósito - Fund I,Vila Olinda,Imersão PMPI - planilha territorial
Santa Tereza,Esporte,"Ginásio Poliesportivo Amauri Severo dos Santos - R Nilo, 1611",Casa Branca,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,Casa Família Embuense - Ubs Sta Tereza II,Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Em Jornalista - Pré Escola Fund I Eja,Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Esporte,Centro Poli esportivo do Jd. Independência,Independência,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,Serviço de Atendimento Psicossocial Infanto Juvenil,Independência,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Em Cinara (Primavera) – Pré Escola Fund I,Vila Olinda,Imersão PMPI - planilha territorial
Santa Tereza,Esporte,"Quadra Jd. Laila - Bom Retiro, s/nº",Jd. Laila,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,CEO Independência,Independência,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Em Girassol ( Edna) – Pré Escola,Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,Policlínica Jardim Independência,Independência,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Creche Estrela Da Manhã – Creche,Vila Regina,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,Centro de especialidades medicas ( Casa da Família Embuense),Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Em Sueli Maria Hipólito – Creche,Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Saúde,Centro de Referencia da saúde da Mulher ( casa da Família embuense ),Santa Tereza,Imersão PMPI - planilha territorial
Santa Tereza,Educação,Creche Asmoreji – Creche,Fabiana,Imersão PMPI - planilha territorial
São Marcos,Saúde,UBS São Marcos,São Marcos,Imersão PMPI - planilha territorial
São Marcos,Educação,Em São Marcos (Em João Antônio Dos Santos) – Creche,São Marcos,Imersão PMPI - planilha territorial
São Marcos,Esporte,"Praça da Juventude - Av. Augusto de Almeida Batista, s/nº –",Jd. São Marcos,Imersão PMPI - planilha territorial
São Marcos,Cultura,Praça da Juventude,São Marcos,Imersão PMPI - planilha territorial
São Marcos,Educação,Nei São Marcos (Em João Antônio Dos Santos) - Pré Escola,São Marcos,Imersão PMPI - planilha territorial
São Marcos,Educação,Em José Carlos - Pré Escola,São Marcos,Imersão PMPI - planilha territorial
Colégio,Educação,Em Elza Marreiro - Fund I Eja,Jardim Dos Moraes,Imersão PMPI - planilha territorial
Colégio,Esporte,"Céu Jd. Do Colégio - Rua Ursa Maior, s/nº",Jd. do Colégio,Imersão PMPI - planilha territorial
Colégio,Cultura,Estação Cidadania (antigo Céu das Artes),Colégio,Imersão PMPI - planilha territorial
Colégio,Educação,Nei Ísis Cristina - Pré Escola,Ísis Cristina,Imersão PMPI - planilha territorial
Colégio,Educação,Creche Ísis Cristina – Creche,Ísis Cristina,Imersão PMPI - planilha territorial
Colégio,Educação,Em Florestan – Creche,Jd. Dos Moraes,Imersão PMPI - planilha territorial
Dom José,Saúde,UBS santo Eduardo,Santo Eduardo,Imersão PMPI - planilha territorial
Dom José,Educação,Em Delphina - Pré Escola Fund I,Santo Eduardo,Imersão PMPI - planilha territorial
Dom José,Esporte,"Quadra Society Jd. Santa Emília - Rua Capri, s/nº",Santa Emília,Imersão PMPI - planilha territorial
Dom José,Cultura,Biblioteca,Santo Eduardo,Imersão PMPI - planilha territorial
Dom José,Saúde,UBS jd. Ângela,Ângela,Imersão PMPI - planilha territorial
Dom José,Educação,Em Dom José – Creche,Santo Eduardo,Imersão PMPI - planilha territorial
Dom José,Esporte,"Centro Esportivo Dom José - Av. Lorena, s/nº",Dom José,Imersão PMPI - planilha territorial
Dom José,Cultura,Centro Cultural Santo Eduardo,Santo Eduardo,Imersão PMPI - planilha territorial
Dom José,Saúde,UBS Santa Emília,Santa Emília,Imersão PMPI - planilha territorial
Dom José,Educação,Em Janete Beauchamp – Creche,Santo Eduardo,Imersão PMPI - planilha territorial
Dom José,Saúde,UBS Bene Frontino,Santo Eduardo,Imersão PMPI - planilha territorial
Dom José,Educação,Em Villa Lobos- Pré Escola Fund I,Batista,Imersão PMPI - planilha territorial
Dom José,Saúde,UPA Dra Zilda Arns,Dom José,Imersão PMPI - planilha territorial
Dom José,Educação,Em Maria Josefina Azteca -Fund I,Taima,Imersão PMPI - planilha territorial
Dom José,Educação,Em Pau Brasil - Pré Escola,Dom José,Imersão PMPI - planilha territorial
Dom José,Educação,Nei Jd Da Luz – Creche,Jd. Da Luz,Imersão PMPI - planilha territorial
Dom José,Educação,Em Jacaranda - Pré Escola,Santa Emília,Imersão PMPI - planilha territorial
Dom José,Educação,Em Paulo Freire- Fund I Fund Ii Eja,Santa Emília,Imersão PMPI - planilha territorial
Dom José,Educação,Em Solange Da Silva Vieira – Creche,Presidente Kennedy,Imersão PMPI - planilha territorial
Dom José,Educação,Creche Madre Tereza I - Creche,Presidente Kenneidy,Imersão PMPI - planilha territorial
Dom José,Educação,Creche Santa Terezinha/ Caritas Regional De Embu – Creche,Santo Eduardo,Imersão PMPI - planilha territorial
