id,territorio_id,territorio,categoria,nome,bairro,endereco,latitude,longitude,status_georreferenciamento,origem
T-058,santa-tereza,CRAS Santa Tereza,Educação,Em Estela – Creche,Vila Olinda,,,,PENDENTE,equipamento listado na imersão
T-059,santa-tereza,CRAS Santa Tereza,Educação,Em Hermínio Espósito - Fund I,Vila Olinda,,,,PENDENTE,equipamento listado na imersão
T-060,santa-tereza,CRAS Santa Tereza,Educação,Em Jornalista - Pré Escola Fund I Eja,Santa Tereza,,,,PENDENTE,equipamento listado na imersão
T-061,santa-tereza,CRAS Santa Tereza,Educação,Em Cinara (Primavera) – Pré Escola Fund I,Vila Olinda,,,,PENDENTE,equipamento listado na imersão
T-062,santa-tereza,CRAS Santa Tereza,Educação,Em Girassol ( Edna) – Pré Escola,Santa Tereza,,,,PENDENTE,equipamento listado na imersão
T-063,santa-tereza,CRAS Santa Tereza,Educação,Creche Estrela Da Manhã – Creche,Vila Regina,,,,PENDENTE,equipamento listado na imersão
T-064,santa-tereza,CRAS Santa Tereza,Educação,Em Sueli Maria Hipólito – Creche,Santa Tereza,,,,PENDENTE,equipamento listado na imersão
T-065,santa-tereza,CRAS Santa Tereza,Educação,Creche Asmoreji – Creche,Fabiana,,,,PENDENTE,equipamento listado na imersão
T-066,santa-tereza,CRAS Santa Tereza,Esporte,"Ginásio José Anacleto – Rua Belgrado, s/nº",Santa Tereza,,,,PENDENTE,equipamento listado na imersão
T-067,santa-tereza,CRAS Santa Tereza,Esporte,"Centro Esportivo João Marreta - R José Mendes Ferreira, 340",Santa Tereza,,,,PENDENTE,equipamento listado na imersão
T-068,santa-tereza,CRAS Santa Tereza,Esporte,"Ginásio Poliesportivo Amauri Severo dos Santos - R Nilo, 1611",Casa Branca,,,,PENDENTE,equipamento listado na imersão
T-069,santa-tereza,CRAS Santa Tereza,Esporte,Centro Poli esportivo do Jd. Independência,Independência,,,,PENDENTE,equipamento listado na imersão
T-070,santa-tereza,CRAS Santa Tereza,Esporte,"Quadra Jd. Laila - Bom Retiro, s/nº",Jd. Laila,,,,PENDENTE,equipamento listado na imersão
T-071,santa-tereza,CRAS Santa Tereza,Cultura,Biblioteca,Casa Branca,,,,PENDENTE,equipamento listado na imersão
T-072,santa-tereza,CRAS Santa Tereza,Espaços para brincar,quadra,,,,,VALIDAR CADASTRO,potencialidade registrada na imersão
T-073,colegio,CRAS Colégio,Educação,Em Elza Marreiro - Fund I Eja,Jardim Dos Moraes,,,,PENDENTE,equipamento listado na imersão
T-074,colegio,CRAS Colégio,Educação,Nei Ísis Cristina - Pré Escola,Ísis Cristina,,,,PENDENTE,equipamento listado na imersão
T-075,colegio,CRAS Colégio,Educação,Creche Ísis Cristina – Creche,Ísis Cristina,,,,PENDENTE,equipamento listado na imersão
T-076,colegio,CRAS Colégio,Educação,Em Florestan – Creche,Jd. Dos Moraes,,,,PENDENTE,equipamento listado na imersão
T-077,colegio,CRAS Colégio,Esporte,"Céu Jd. Do Colégio - Rua Ursa Maior, s/nº",Jd. do Colégio,,,,PENDENTE,equipamento listado na imersão
T-078,colegio,CRAS Colégio,Cultura,Estação Cidadania (antigo Céu das Artes),Colégio,,,,PENDENTE,equipamento listado na imersão
T-079,colegio,CRAS Colégio,Espaços para brincar,"CÉU Parquinho, Cursos e espaço Kids",,,,,VALIDAR CADASTRO,potencialidade registrada na imersão
T-080,colegio,CRAS Colégio,Espaços para brincar,"Praças > Praça da Juventude,",,,,,VALIDAR CADASTRO,potencialidade registrada na imersão
T-081,colegio,CRAS Colégio,Espaços para brincar,Campo do Ísis Cristina,,,,,VALIDAR CADASTRO,potencialidade registrada na imersão
T-082,dom-jose,CRAS Dom José,Espaços para brincar,parquinho,,,,,VALIDAR CADASTRO,potencialidade registrada na imersão
T-083,dom-jose,CRAS Dom José,Espaços para brincar,quadra,,,,,VALIDAR CADASTRO,potencialidade registrada na imersão
T-084,vazame,CRAS Vazame,Assistência Social,CRAS Vazame,,,,,PENDENTE,território de referência
T-085,centro,CRAS Centro,Assistência Social,CRAS Centro,,,,,PENDENTE,território de referência
T-086,vista-alegre,CRAS Vista Alegre,Assistência Social,CRAS Vista Alegre,,,,,PENDENTE,território de referência
T-087,fatima,CRAS Fátima,Assistência Social,CRAS Fátima,,,,,PENDENTE,território de referência
T-088,itatuba,CRAS Itatuba,Assistência Social,CRAS Itatuba,,,,,PENDENTE,território de referência
T-089,pinheirinho,CRAS Pinheirinho,Assistência Social,CRAS Pinheirinho,,,,,PENDENTE,território de referência
T-090,santa-tereza,CRAS Santa Tereza,Assistência Social,CRAS Santa Tereza,,,,,PENDENTE,território de referência
T-091,sao-marcos,CRAS São Marcos,Assistência Social,CRAS São Marcos,,,,,PENDENTE,território de referência
T-092,colegio,CRAS Colégio,Assistência Social,CRAS Colégio,,,,,PENDENTE,território de referência
T-093,dom-jose,CRAS Dom José,Assistência Social,CRAS Dom José,,,,,PENDENTE,território de referência
